Variable,Value
snp1,chr22:36442075
snp2,chr22:36535406
snp3,chr22:36520414
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,-5.1461
interaction_effect_size,-0.1290
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,35861390
searchrange_chr22_end,36924823
freq_snp1,0.7763
freq_snp2,0.7266
freq_S,0.6014
freq_K1,0.1750
freq_K2,0.1252
freq_O,0.0984
test1a_b_clade_min_p0.5,0.4922
test1a_r2_clade_min_p0.5,0.4250
test1a_b_mut_min_p0.5,0.5059
test1a_r2_mut_min_p0.5,0.3767
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[36531441, 36532018]"
test1a_b_clade_min_p0.8,0.5765
test1a_r2_clade_min_p0.8,0.4250
test1a_b_mut_min_p0.8,0.5926
test1a_r2_mut_min_p0.8,0.3767
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[36531441, 36532018]"
test1a_b_clade_min_p0.9,0.6205
test1a_r2_clade_min_p0.9,0.4250
test1a_b_mut_min_p0.9,0.6378
test1a_r2_mut_min_p0.9,0.3767
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[36531441, 36532018]"
test1a_b_clade_min_p0.95,0.6569
test1a_r2_clade_min_p0.95,0.4250
test1a_b_mut_min_p0.95,0.6752
test1a_r2_mut_min_p0.95,0.3767
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[36531441, 36532018]"
test1b_b_min,0.0230
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4641
