Variable,Value
snp1,chr22:39770030
snp2,chr22:39861705
snp3,chr22:39931796
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1997
interaction_effect_size,0.0913
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,39314192
searchrange_chr22_end,41708523
freq_snp1,0.0994
freq_snp2,0.4175
freq_S,0.0676
freq_K1,0.0318
freq_K2,0.3499
freq_O,0.5507
test1a_b_clade_min_p0.5,0.2903
test1a_r2_clade_min_p0.5,0.0022
test1a_b_mut_min_p0.5,0.3466
test1a_r2_mut_min_p0.5,0.6560
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[39867289]
test1a_b_clade_min_p0.8,0.3397
test1a_r2_clade_min_p0.8,0.0022
test1a_b_mut_min_p0.8,0.4055
test1a_r2_mut_min_p0.8,0.6560
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[39867289]
test1a_b_clade_min_p0.9,0.3655
test1a_r2_clade_min_p0.9,0.0022
test1a_b_mut_min_p0.9,0.4364
test1a_r2_mut_min_p0.9,0.6560
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[39867289]
test1a_b_clade_min_p0.95,0.3868
test1a_r2_clade_min_p0.95,0.0022
test1a_b_mut_min_p0.95,0.4618
test1a_r2_mut_min_p0.95,0.6560
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[39867289]
test1b_b_min,0.0148
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5937
