Variable,Value
snp1,chr22:29803567
snp2,chr22:29817714
snp3,chr22:29862835
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.8093
interaction_effect_size,0.0822
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,28181558
searchrange_chr22_end,31444850
freq_snp1,0.2117
freq_snp2,0.5994
freq_S,0.0467
freq_K1,0.1650
freq_K2,0.5527
freq_O,0.2356
test1a_b_clade_min_p0.5,0.1936
test1a_r2_clade_min_p0.5,0.0138
test1a_b_mut_min_p0.5,0.2205
test1a_r2_mut_min_p0.5,0.0099
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[29861978]
test1a_b_clade_min_p0.8,0.2276
test1a_r2_clade_min_p0.8,0.0138
test1a_b_mut_min_p0.8,0.2592
test1a_r2_mut_min_p0.8,0.0099
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[29861978]
test1a_b_clade_min_p0.9,0.2453
test1a_r2_clade_min_p0.9,0.0138
test1a_b_mut_min_p0.9,0.2794
test1a_r2_mut_min_p0.9,0.0099
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[29861978]
test1a_b_clade_min_p0.95,0.2600
test1a_r2_clade_min_p0.95,0.0138
test1a_b_mut_min_p0.95,0.2961
test1a_r2_mut_min_p0.95,0.0099
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[29861978]
test1b_b_min,0.0814
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4590
