Variable,Value
snp1,chr22:46344376
snp2,chr22:46357215
snp3,chr22:46332599
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,-5.1234
interaction_effect_size,-0.1124
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,45865812
searchrange_chr22_end,46834330
freq_snp1,0.4473
freq_snp2,0.6412
freq_S,0.3728
freq_K1,0.0746
freq_K2,0.2684
freq_O,0.2843
test1a_b_clade_min_p0.5,0.2826
test1a_r2_clade_min_p0.5,0.0144
test1a_b_mut_min_p0.5,0.2842
test1a_r2_mut_min_p0.5,0.5142
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[46335626, 46336266]"
test1a_b_clade_min_p0.8,0.3308
test1a_r2_clade_min_p0.8,0.0144
test1a_b_mut_min_p0.8,0.3328
test1a_r2_mut_min_p0.8,0.5142
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[46335626, 46336266]"
test1a_b_clade_min_p0.9,0.3560
test1a_r2_clade_min_p0.9,0.0144
test1a_b_mut_min_p0.9,0.3582
test1a_r2_mut_min_p0.9,0.5142
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[46335626, 46336266]"
test1a_b_clade_min_p0.95,0.3769
test1a_r2_clade_min_p0.95,0.0144
test1a_b_mut_min_p0.95,0.3791
test1a_r2_mut_min_p0.95,0.5142
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[46335626, 46336266]"
test1b_b_min,0.0112
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3950
