Variable,Value
snp1,chr22:45601157
snp2,chr22:45604562
snp3,chr22:45644837
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.0792
interaction_effect_size,0.0927
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,45246137
searchrange_chr22_end,45944912
freq_snp1,0.2724
freq_snp2,0.4960
freq_S,0.1819
freq_K1,0.0905
freq_K2,0.3141
freq_O,0.4135
test1a_b_clade_min_p0.5,0.2125
test1a_r2_clade_min_p0.5,0.1222
test1a_b_mut_min_p0.5,0.2371
test1a_r2_mut_min_p0.5,0.0952
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[45592852]
test1a_b_clade_min_p0.8,0.2489
test1a_r2_clade_min_p0.8,0.1222
test1a_b_mut_min_p0.8,0.2777
test1a_r2_mut_min_p0.8,0.0952
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[45592852]
test1a_b_clade_min_p0.9,0.2679
test1a_r2_clade_min_p0.9,0.1222
test1a_b_mut_min_p0.9,0.2989
test1a_r2_mut_min_p0.9,0.0952
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[45592852]
test1a_b_clade_min_p0.95,0.2836
test1a_r2_clade_min_p0.95,0.1222
test1a_b_mut_min_p0.95,0.3164
test1a_r2_mut_min_p0.95,0.0952
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[45592852]
test1b_b_min,0.0069
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3636
