Variable,Value
snp1,chr22:50209099
snp2,chr22:50323665
snp3,chr22:50291982
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.9497
interaction_effect_size,0.1085
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,49839606
searchrange_chr22_end,50818416
freq_snp1,0.5139
freq_snp2,0.3797
freq_S,0.2535
freq_K1,0.2604
freq_K2,0.1262
freq_O,0.3598
test1a_b_clade_min_p0.5,0.2427
test1a_r2_clade_min_p0.5,0.0447
test1a_b_mut_min_p0.5,0.2719
test1a_r2_mut_min_p0.5,0.6888
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[50249098, 50253863]"
test1a_b_clade_min_p0.8,0.2841
test1a_r2_clade_min_p0.8,0.0447
test1a_b_mut_min_p0.8,0.3184
test1a_r2_mut_min_p0.8,0.6888
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[50249098, 50253863]"
test1a_b_clade_min_p0.9,0.3058
test1a_r2_clade_min_p0.9,0.0447
test1a_b_mut_min_p0.9,0.3427
test1a_r2_mut_min_p0.9,0.6888
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[50249098, 50253863]"
test1a_b_clade_min_p0.95,0.3237
test1a_r2_clade_min_p0.95,0.0447
test1a_b_mut_min_p0.95,0.3627
test1a_r2_mut_min_p0.95,0.6888
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[50249098, 50253863]"
test1b_b_min,0.0504
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3484
