Variable,Value
snp1,chr22:35016419
snp2,chr22:35049085
snp3,chr22:35013577
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,-4.8442
interaction_effect_size,-0.1513
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,34152815
searchrange_chr22_end,35844133
freq_snp1,0.1103
freq_snp2,0.1869
freq_S,0.0964
freq_K1,0.0139
freq_K2,0.0905
freq_O,0.7992
test1a_b_clade_min_p0.5,0.1958
test1a_r2_clade_min_p0.5,0.0012
test1a_b_mut_min_p0.5,0.2443
test1a_r2_mut_min_p0.5,0.0010
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[34689072, 34973955, 34625571, 34612516, 34861158, 34839591, 34642360]"
test1a_b_clade_min_p0.8,0.2300
test1a_r2_clade_min_p0.8,0.0012
test1a_b_mut_min_p0.8,0.2869
test1a_r2_mut_min_p0.8,0.0010
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[34689072, 34973955, 34625571, 34612516, 34861158, 34839591, 34642360]"
test1a_b_clade_min_p0.9,0.2478
test1a_r2_clade_min_p0.9,0.0012
test1a_b_mut_min_p0.9,0.3092
test1a_r2_mut_min_p0.9,0.0010
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[34689072, 34973955, 34625571, 34612516, 34861158, 34839591, 34642360]"
test1a_b_clade_min_p0.95,0.2626
test1a_r2_clade_min_p0.95,0.0012
test1a_b_mut_min_p0.95,0.3276
test1a_r2_mut_min_p0.95,0.0010
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[34689072, 34973955, 34625571, 34612516, 34861158, 34839591, 34642360]"
test1b_b_min,0.0008
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.6209
