Variable,Value
snp1,chr22:17451169
snp2,chr22:17469671
snp3,chr22:17459970
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.9002
interaction_effect_size,0.1828
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,16870045
searchrange_chr22_end,17711750
freq_snp1,0.7406
freq_snp2,0.3270
freq_S,0.3241
freq_K1,0.4165
freq_K2,0.0030
freq_O,0.2565
test1a_b_clade_min_p0.5,0.1934
test1a_r2_clade_min_p0.5,0.0010
test1a_b_mut_min_p0.5,0.3948
test1a_r2_mut_min_p0.5,0.0002
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[17636642]
test1a_b_clade_min_p0.8,0.2264
test1a_r2_clade_min_p0.8,0.0010
test1a_b_mut_min_p0.8,0.4620
test1a_r2_mut_min_p0.8,0.0002
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[17636642]
test1a_b_clade_min_p0.9,0.2436
test1a_r2_clade_min_p0.9,0.0010
test1a_b_mut_min_p0.9,0.4972
test1a_r2_mut_min_p0.9,0.0002
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[17636642]
test1a_b_clade_min_p0.95,0.2578
test1a_r2_clade_min_p0.95,0.0010
test1a_b_mut_min_p0.95,0.5262
test1a_r2_mut_min_p0.95,0.0002
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[17636642]
test1b_b_min,0.0375
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,1.4382
