Variable,Value
snp1,chr22:18648901
snp2,chr22:18653388
snp3,chr22:18648834
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,-5.9986
interaction_effect_size,-0.1351
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,18278569
searchrange_chr22_end,18793559
freq_snp1,0.6233
freq_snp2,0.6909
freq_S,0.4105
freq_K1,0.2127
freq_K2,0.2803
freq_O,0.0964
test1a_b_clade_min_p0.5,0.2408
test1a_r2_clade_min_p0.5,0.0186
test1a_b_mut_min_p0.5,0.2925
test1a_r2_mut_min_p0.5,0.0352
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[18649222]
test1a_b_clade_min_p0.8,0.2805
test1a_r2_clade_min_p0.8,0.0186
test1a_b_mut_min_p0.8,0.3407
test1a_r2_mut_min_p0.8,0.0352
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[18649222]
test1a_b_clade_min_p0.9,0.3012
test1a_r2_clade_min_p0.9,0.0186
test1a_b_mut_min_p0.9,0.3659
test1a_r2_mut_min_p0.9,0.0352
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[18649222]
test1a_b_clade_min_p0.95,0.3184
test1a_r2_clade_min_p0.95,0.0186
test1a_b_mut_min_p0.95,0.3867
test1a_r2_mut_min_p0.95,0.0352
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[18649222]
test1b_b_min,0.0419
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3857
