Variable,Value
snp1,chr22:23306504
snp2,chr22:23363887
snp3,chr22:23306377
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,-4.9970
interaction_effect_size,-0.1763
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,23080924
searchrange_chr22_end,23853185
freq_snp1,0.4463
freq_snp2,0.6630
freq_S,0.4215
freq_K1,0.0249
freq_K2,0.2416
freq_O,0.3121
test1a_b_clade_min_p0.5,0.2310
test1a_r2_clade_min_p0.5,0.0064
test1a_b_mut_min_p0.5,0.3007
test1a_r2_mut_min_p0.5,0.0007
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[23586615]
test1a_b_clade_min_p0.8,0.2702
test1a_r2_clade_min_p0.8,0.0064
test1a_b_mut_min_p0.8,0.3518
test1a_r2_mut_min_p0.8,0.0007
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[23586615]
test1a_b_clade_min_p0.9,0.2908
test1a_r2_clade_min_p0.9,0.0064
test1a_b_mut_min_p0.9,0.3785
test1a_r2_mut_min_p0.9,0.0007
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[23586615]
test1a_b_clade_min_p0.95,0.3077
test1a_r2_clade_min_p0.95,0.0064
test1a_b_mut_min_p0.95,0.4006
test1a_r2_mut_min_p0.95,0.0007
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[23586615]
test1b_b_min,0.0021
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5633
