Variable,Value
snp1,chr22:25711808
snp2,chr22:25726508
snp3,chr22:25731431
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.4155
interaction_effect_size,0.1006
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,25414524
searchrange_chr22_end,26282382
freq_snp1,0.6402
freq_snp2,0.4414
freq_S,0.2704
freq_K1,0.3698
freq_K2,0.1710
freq_O,0.1889
test1a_b_clade_min_p0.5,0.2082
test1a_r2_clade_min_p0.5,0.1288
test1a_b_mut_min_p0.5,0.2697
test1a_r2_mut_min_p0.5,0.0638
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[25773134, 25775270]"
test1a_b_clade_min_p0.8,0.2435
test1a_r2_clade_min_p0.8,0.1288
test1a_b_mut_min_p0.8,0.3154
test1a_r2_mut_min_p0.8,0.0638
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[25773134, 25775270]"
test1a_b_clade_min_p0.9,0.2619
test1a_r2_clade_min_p0.9,0.1288
test1a_b_mut_min_p0.9,0.3393
test1a_r2_mut_min_p0.9,0.0638
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[25773134, 25775270]"
test1a_b_clade_min_p0.95,0.2772
test1a_r2_clade_min_p0.95,0.1288
test1a_b_mut_min_p0.95,0.3590
test1a_r2_mut_min_p0.95,0.0638
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[25773134, 25775270]"
test1b_b_min,0.0190
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.3415
