Variable,Value
snp1,chr22:29652192
snp2,chr22:29809777
snp3,chr22:29769840
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.5509
interaction_effect_size,0.1391
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,28168202
searchrange_chr22_end,31444012
freq_snp1,0.5994
freq_snp2,0.7306
freq_S,0.5129
freq_K1,0.0865
freq_K2,0.2177
freq_O,0.1829
test1a_b_clade_min_p0.5,0.3321
test1a_r2_clade_min_p0.5,0.0083
test1a_b_mut_min_p0.5,0.3616
test1a_r2_mut_min_p0.5,0.0085
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[29665606]
test1a_b_clade_min_p0.8,0.3899
test1a_r2_clade_min_p0.8,0.0083
test1a_b_mut_min_p0.8,0.4247
test1a_r2_mut_min_p0.8,0.0085
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[29665606]
test1a_b_clade_min_p0.9,0.4202
test1a_r2_clade_min_p0.9,0.0083
test1a_b_mut_min_p0.9,0.4576
test1a_r2_mut_min_p0.9,0.0085
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[29665606]
test1a_b_clade_min_p0.95,0.4451
test1a_r2_clade_min_p0.95,0.0083
test1a_b_mut_min_p0.95,0.4848
test1a_r2_mut_min_p0.95,0.0085
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[29665606]
test1b_b_min,0.0496
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4042
