Variable,Value
snp1,chr22:17385609
snp2,chr22:17394554
snp3,chr22:17380094
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,6.2971
interaction_effect_size,0.1367
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,16700179
searchrange_chr22_end,17693802
freq_snp1,0.6759
freq_snp2,0.4920
freq_S,0.2296
freq_K1,0.4463
freq_K2,0.2624
freq_O,0.0616
test1a_b_clade_min_p0.5,0.2501
test1a_r2_clade_min_p0.5,0.5973
test1a_b_mut_min_p0.5,0.2740
test1a_r2_mut_min_p0.5,0.0245
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[17380369]
test1a_b_clade_min_p0.8,0.2928
test1a_r2_clade_min_p0.8,0.5973
test1a_b_mut_min_p0.8,0.3208
test1a_r2_mut_min_p0.8,0.0245
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[17380369]
test1a_b_clade_min_p0.9,0.3151
test1a_r2_clade_min_p0.9,0.5973
test1a_b_mut_min_p0.9,0.3453
test1a_r2_mut_min_p0.9,0.0245
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[17380369]
test1a_b_clade_min_p0.95,0.3335
test1a_r2_clade_min_p0.95,0.5973
test1a_b_mut_min_p0.95,0.3655
test1a_r2_mut_min_p0.95,0.0245
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[17380369]
test1b_b_min,0.0695
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.4052
