Variable,Value
snp1,chr21:48027084
snp2,chr21:47764477
snp3,chr21:47703649
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,2.6874
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr21_start,46174495
searchrange_chr21_end,48069462
freq_snp1,0.5915
freq_snp2,0.2346
freq_S,0.1133
freq_K1,0.4781
freq_K2,0.1213
freq_O,0.2873
test1a_b_clade_min_p0.5,0.1034
test1a_r2_clade_min_p0.5,0.1048
test1a_b_mut_min_p0.5,0.1156
test1a_r2_mut_min_p0.5,0.1007
test1a_mut_chr_p0.5,21
test1a_mut_pos_p0.5,[47760008]
test1a_b_clade_min_p0.8,0.1479
test1a_r2_clade_min_p0.8,0.1048
test1a_b_mut_min_p0.8,0.1653
test1a_r2_mut_min_p0.8,0.1007
test1a_mut_chr_p0.8,21
test1a_mut_pos_p0.8,[47760008]
test1a_b_clade_min_p0.9,0.1711
test1a_r2_clade_min_p0.9,0.1048
test1a_b_mut_min_p0.9,0.1913
test1a_r2_mut_min_p0.9,0.1007
test1a_mut_chr_p0.9,21
test1a_mut_pos_p0.9,[47760008]
test1a_b_clade_min_p0.95,0.1902
test1a_r2_clade_min_p0.95,0.1048
test1a_b_mut_min_p0.95,0.2127
test1a_r2_mut_min_p0.95,0.1007
test1a_mut_chr_p0.95,21
test1a_mut_pos_p0.95,[47760008]
test1b_b_min,0.0384
test2_overall_min_b,0.1585
