Variable,Value
snp1,chr22:19742635
snp2,chr22:19866933
snp3,chr22:19815926
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.5616
interaction_effect_size,0.0775
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,19566621
searchrange_chr22_end,20270186
freq_snp1,0.4930
freq_snp2,0.0606
freq_S,0.0298
freq_K1,0.4632
freq_K2,0.0308
freq_O,0.4761
test1a_b_clade_min_p0.5,0.2447
test1a_r2_clade_min_p0.5,0.8291
test1a_b_mut_min_p0.5,0.2962
test1a_r2_mut_min_p0.5,0.5602
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[19881668, 19878350]"
test1a_b_clade_min_p0.8,0.2863
test1a_r2_clade_min_p0.8,0.8291
test1a_b_mut_min_p0.8,0.3465
test1a_r2_mut_min_p0.8,0.5602
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[19881668, 19878350]"
test1a_b_clade_min_p0.9,0.3080
test1a_r2_clade_min_p0.9,0.8291
test1a_b_mut_min_p0.9,0.3728
test1a_r2_mut_min_p0.9,0.5602
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[19881668, 19878350]"
test1a_b_clade_min_p0.95,0.3260
test1a_r2_clade_min_p0.95,0.8291
test1a_b_mut_min_p0.95,0.3945
test1a_r2_mut_min_p0.95,0.5602
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[19881668, 19878350]"
test1b_b_min,0.0299
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.6998
