Variable,Value
snp1,chr22:23221519
snp2,chr22:23281957
snp3,chr22:23263021
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.1775
interaction_effect_size,0.0667
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,22975034
searchrange_chr22_end,23813314
freq_snp1,0.0726
freq_snp2,0.2584
freq_S,0.0288
freq_K1,0.0437
freq_K2,0.2296
freq_O,0.6978
test1a_b_clade_min_p0.5,0.2999
test1a_r2_clade_min_p0.5,0.0092
test1a_b_mut_min_p0.5,0.3221
test1a_r2_mut_min_p0.5,0.0001
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[23246478]
test1a_b_clade_min_p0.8,0.3507
test1a_r2_clade_min_p0.8,0.0092
test1a_b_mut_min_p0.8,0.3767
test1a_r2_mut_min_p0.8,0.0001
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[23246478]
test1a_b_clade_min_p0.9,0.3773
test1a_r2_clade_min_p0.9,0.0092
test1a_b_mut_min_p0.9,0.4053
test1a_r2_mut_min_p0.9,0.0001
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[23246478]
test1a_b_clade_min_p0.95,0.3993
test1a_r2_clade_min_p0.95,0.0092
test1a_b_mut_min_p0.95,0.4289
test1a_r2_mut_min_p0.95,0.0001
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[23246478]
test1b_b_min,0.0131
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.6581
