Variable,Value
snp1,chr22:40415787
snp2,chr22:40721156
snp3,chr22:40575091
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,4.8869
interaction_effect_size,0.0723
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,39656919
searchrange_chr22_end,43187047
freq_snp1,0.0934
freq_snp2,0.2634
freq_S,0.0527
freq_K1,0.0408
freq_K2,0.2107
freq_O,0.6958
test1a_b_clade_min_p0.5,0.3107
test1a_r2_clade_min_p0.5,0.0068
test1a_b_mut_min_p0.5,0.3310
test1a_r2_mut_min_p0.5,0.0076
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,"[41149162, 41151679]"
test1a_b_clade_min_p0.8,0.3655
test1a_r2_clade_min_p0.8,0.0068
test1a_b_mut_min_p0.8,0.3893
test1a_r2_mut_min_p0.8,0.0076
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,"[41149162, 41151679]"
test1a_b_clade_min_p0.9,0.3941
test1a_r2_clade_min_p0.9,0.0068
test1a_b_mut_min_p0.9,0.4198
test1a_r2_mut_min_p0.9,0.0076
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,"[41149162, 41151679]"
test1a_b_clade_min_p0.95,0.4177
test1a_r2_clade_min_p0.95,0.0068
test1a_b_mut_min_p0.95,0.4449
test1a_r2_mut_min_p0.95,0.0076
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,"[41149162, 41151679]"
test1b_b_min,0.0071
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5397
