Variable,Value
snp1,chr22:45076667
snp2,chr22:45103060
snp3,chr22:45098236
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.3830
interaction_effect_size,0.0694
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,44762709
searchrange_chr22_end,45266838
freq_snp1,0.1163
freq_snp2,0.2058
freq_S,0.0348
freq_K1,0.0815
freq_K2,0.1710
freq_O,0.7127
test1a_b_clade_min_p0.5,0.2218
test1a_r2_clade_min_p0.5,0.0068
test1a_b_mut_min_p0.5,0.2435
test1a_r2_mut_min_p0.5,0.0025
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[45089120]
test1a_b_clade_min_p0.8,0.2588
test1a_r2_clade_min_p0.8,0.0068
test1a_b_mut_min_p0.8,0.2842
test1a_r2_mut_min_p0.8,0.0025
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[45089120]
test1a_b_clade_min_p0.9,0.2782
test1a_r2_clade_min_p0.9,0.0068
test1a_b_mut_min_p0.9,0.3054
test1a_r2_mut_min_p0.9,0.0025
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[45089120]
test1a_b_clade_min_p0.95,0.2942
test1a_r2_clade_min_p0.95,0.0068
test1a_b_mut_min_p0.95,0.3230
test1a_r2_mut_min_p0.95,0.0025
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[45089120]
test1b_b_min,0.0152
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5880
