Variable,Value
snp1,chr22:19294533
snp2,chr22:19518849
snp3,chr22:19454259
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.0885
interaction_effect_size,0.0665
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,18830719
searchrange_chr22_end,19732766
freq_snp1,0.1163
freq_snp2,0.2803
freq_S,0.0268
freq_K1,0.0895
freq_K2,0.2535
freq_O,0.6302
test1a_b_clade_min_p0.5,0.2190
test1a_r2_clade_min_p0.5,0.0524
test1a_b_mut_min_p0.5,0.2190
test1a_r2_mut_min_p0.5,0.0524
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[19291293]
test1a_b_clade_min_p0.8,0.2571
test1a_r2_clade_min_p0.8,0.0524
test1a_b_mut_min_p0.8,0.2571
test1a_r2_mut_min_p0.8,0.0524
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[19291293]
test1a_b_clade_min_p0.9,0.2770
test1a_r2_clade_min_p0.9,0.0524
test1a_b_mut_min_p0.9,0.2770
test1a_r2_mut_min_p0.9,0.0524
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[19291293]
test1a_b_clade_min_p0.95,0.2935
test1a_r2_clade_min_p0.95,0.0524
test1a_b_mut_min_p0.95,0.2935
test1a_r2_mut_min_p0.95,0.0524
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[19291293]
test1b_b_min,0.0114
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.5839
